01idhab;02idpolhab;03numsite;04cdhab;05lbhab;06rechab;07surfhab;08calrecha;09habdom;10cohabpol;11cdhabref;12lball;13autall;14lbsal;15autsal;16lbass;17autass;18formveg;19stadhhab;20cdn2000;21lbn2000;22cdcahab;23lbcahab;24cdcb;25lbcb;26cdeunis;27lbeunis;28cddynhab;29lbdynhab;30cdusagpr;31lbusagpr;32plusages;33cddegprh;34lbdegprh;35pldeghab;36cdedchab;37lbedchab;38cdgest;39lbgest;40plgest;41cdrestau;42lbrestau;43cdhabori;44cocbn;45evalcbn;46uuidhab;47uuidpol;;;;;;;;;;;;;;;;;;;;
1611;1611;FR8201720;CAL_GEN;Lande à callune collinéenne à sub-montagnarde sur grès;20;0,08;O;oui;;16674;Genisto pilosae-Vaccinion uliginosi;Br.-Bl. 1926;non renseigné;non renseigné;non renseigné;non renseigné;Lande (et landine);IC;4030;Landes sèches européennes;4030-10;Landes acidiphiles subatlantiques sèches à subsèches;31.22;Landes subatlantiques à Genêt et Callune;F4.22;Landes subatlantiques à Calluna et Genista;3;régressive;A03.03;Abandon / Absence de fauche;U;A04.03;Abandon de systèmes pastoraux, sous-pâturage;N;3;Défavorable mauvais;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16112;1611;FR8201720;SOL_NU;Sol nu;16;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16113;1611;FR8201720;SOL_NU;Sol nu;16;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16114;1611;FR8201720;SOL_NU;Sol nu;16;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16115;1611;FR8201720;SOL_NU;Sol nu;16;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16116;1611;FR8201720;SOL_NU;Sol nu;16;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1612;1612;FR8201720;CAL_GEN;Lande à callune collinéenne à sub-montagnarde sur grès;80;0,01;O;oui;;16674;Genisto pilosae-Vaccinion uliginosi;Br.-Bl. 1926;non renseigné;non renseigné;non renseigné;non renseigné;Lande (et landine);IC;4030;Landes sèches européennes;4030-10;Landes acidiphiles subatlantiques sèches à subsèches;31.22;Landes subatlantiques à Genêt et Callune;F4.22;Landes subatlantiques à Calluna et Genista;3;régressive;A03.03;Abandon / Absence de fauche;U;A04.03;Abandon de systèmes pastoraux, sous-pâturage;N;3;Défavorable mauvais;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1614;1614;FR8201720;CAR_FAG;Charmaies-chênaies et hêtraies-chênaies collinéennes mésophiles (et faciès à Castanea sativa) des sols peu acides à basiques;100;0,94;O;oui;;31640;Carpino betuli-Fagion sylvaticae;R. Boeuf, Renaux & J.-M. Royer in R. Boeuf 2011;non renseigné;non renseigné;non renseigné;non renseigné;boisement feuillu  (mésophile à sec);IC;9130;Hêtraies de l'Asperulo-Fagetum;9130;Hêtraies de l'Asperulo-Fagetum;41.2;Chênaies-charmaies;G1.A1;Boisements sur sols eutrophes et mésotrophes à Quercus, Fraxinus et Carpinus betulus;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16122;1612;FR8201720;SOL_NU;Sol nu;20;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1615;1615;FR8201720;MES_BRO2;Prairie fauchée/paturée collinéo-montagnarde neutrocline à tendance mésoxérophile à Brome érigé (Bromopsis erecta) et Sainfoin des prés (Onobrychis viciifolia);90;0,79;O;oui;;-1;Mesobromion erecti;W. Koch 1926;Mesobromenion erecti;Br.-Bl. & Moor 1938;Mesobrometum erecti;W. Koch 1926;pelouse (de basse et moyenne altitude);PR;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco Brometalia) (* sites d'orchidées remarquables);6210-15;Pelouses calcicoles mésophiles de l'Est;34.322;Pelouses semi-sèches médio-européennes à Bromus erectus;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;1;stable;A04;Pâturage;U;A04;Pâturage;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16182;1618;FR8201720;POT_CAU;Parois rocheuses calcaires sèches et ensoleillées à semi-ombragées de l'étage montagnard;30;7,9;O;non;;20661;Potentillion caulescentis;Br.-Bl. in Br.-Bl. & H. Jenny 1926;Kernero saxatilis-Potentillenion caulescentis;Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995;non renseigné;non renseigné;Parois et façades rocheuses (Végétation des);IC;8210;Pentes rocheuses calcaires avec végétation chasmophytique;8210-11;Falaises calcaires ensoleillées de la Bourgogne, du Jura et des Préalpes;62.151;Falaises calcaires ensoleillées des Alpes;H3.251;Communautés héliophiles des falaises calcaires alpines;1;stable;NR;non renseigné;U;NR;non renseigné;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1618;1618;FR8201720;QUE_PUB1;Chênaie pubescente submontagnarde xérophile neutrocalcicole;70;7,9;O;oui;;-1;Quercion pubescenti-petraeae;Br.-Bl. 1932;Sorbo ariae-Quercenion pubescentis;Rameau ex J.-M. Royer, Felzines, Misset & Thévenin 2009;Quercetum pubescenti-petraeae;Imchenetzky nom. invers. Hernis 1933;boisement feuillu  (mésophile à sec);NC;NC;non concerné;NC;non concerné;41.711;Bois occidentaux de Quercus pubescens;G1.711;Chênaies à Quercus pubescens occidentales;1;stable;NR;non renseigné;U;I01;Espèces exotiques envahissantes;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1619;1619;FR8201720;CAR_FAG;Charmaies-chênaies et hêtraies-chênaies collinéennes mésophiles (et faciès à Castanea sativa) des sols peu acides à basiques;100;10,91;O;oui;;31640;Carpino betuli-Fagion sylvaticae;R. Boeuf, Renaux & J.-M. Royer in R. Boeuf 2011;non renseigné;non renseigné;non renseigné;non renseigné;boisement feuillu  (mésophile à sec);IC;9130;Hêtraies de l'Asperulo-Fagetum;9130;Hêtraies de l'Asperulo-Fagetum;41.2;Chênaies-charmaies;G1.A1;Boisements sur sols eutrophes et mésotrophes à Quercus, Fraxinus et Carpinus betulus;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1620;1620;FR8201720;CAR_FAG;Charmaies-chênaies et hêtraies-chênaies collinéennes mésophiles (et faciès à Castanea sativa) des sols peu acides à basiques;100;0,7;O;oui;;31640;Carpino betuli-Fagion sylvaticae;R. Boeuf, Renaux & J.-M. Royer in R. Boeuf 2011;non renseigné;non renseigné;non renseigné;non renseigné;boisement feuillu  (mésophile à sec);IC;9130;Hêtraies de l'Asperulo-Fagetum;9130;Hêtraies de l'Asperulo-Fagetum;41.2;Chênaies-charmaies;G1.A1;Boisements sur sols eutrophes et mésotrophes à Quercus, Fraxinus et Carpinus betulus;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1621;1621;FR8201720;CAR_FAG;Charmaies-chênaies et hêtraies-chênaies collinéennes mésophiles (et faciès à Castanea sativa) des sols peu acides à basiques;100;4,75;O;oui;;31640;Carpino betuli-Fagion sylvaticae;R. Boeuf, Renaux & J.-M. Royer in R. Boeuf 2011;non renseigné;non renseigné;non renseigné;non renseigné;boisement feuillu  (mésophile à sec);IC;9130;Hêtraies de l'Asperulo-Fagetum;9130;Hêtraies de l'Asperulo-Fagetum;41.2;Chênaies-charmaies;G1.A1;Boisements sur sols eutrophes et mésotrophes à Quercus, Fraxinus et Carpinus betulus;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1622;1622;FR8201720;QUE_ROB2;Chênaie sessiliflore (-hêtraie) acidophile mésophile;100;0,92;O;oui;;20676;Quercion roboris;Malcuit 1929;Quercenion robori-petraeae;Rivas Mart. 1975;non renseigné;non renseigné;Boisement feuillu  (mésophile à sec);IC;9110;Hêtraies du Luzulo-Fagetum;9110-1;Hêtraies, hêtraies-chênaies acidiphiles collinéennes;41.111;Hêtraies collinéennes à Luzule;G1.611;Hêtraies collinéennes médio-européennes à Luzule;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1623;1623;FR8201720;QUE_ROB1;Chênaie-boulaie acidophile mésoxérophile des Alpes du Nord à callune;100;0,86;O;oui;;20676;Quercion roboris;Malcuit 1929;Quercenion robori-petraeae;Rivas Mart. 1975;non renseigné;non renseigné;Boisement feuillu  (mésophile à sec);NC;NC;non concerné;NC;non concerné;41.57;Chênaies acidiphiles médio-européennes;G1.87;Chênaies acidophiles médio-européennes;1;stable;NR;non renseigné;U;I01;Espèces exotiques envahissantes;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1624;1624;FR8201720;QUE_ROB1;Chênaie-boulaie acidophile mésoxérophile des Alpes du Nord à callune;100;1,76;O;oui;;20676;Quercion roboris;Malcuit 1929;Quercenion robori-petraeae;Rivas Mart. 1975;non renseigné;non renseigné;Boisement feuillu  (mésophile à sec);NC;NC;non concerné;NC;non concerné;41.57;Chênaies acidiphiles médio-européennes;G1.87;Chênaies acidophiles médio-européennes;1;stable;NR;non renseigné;U;B02;Gestion des forêts et des plantations & exploitation;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1625;1625;FR8201720;CAR_FAG;Charmaies-chênaies et hêtraies-chênaies collinéennes mésophiles (et faciès à Castanea sativa) des sols peu acides à basiques;100;3,3;O;oui;;31640;Carpino betuli-Fagion sylvaticae;R. Boeuf, Renaux & J.-M. Royer in R. Boeuf 2011;non renseigné;non renseigné;non renseigné;non renseigné;boisement feuillu  (mésophile à sec);IC;9130;Hêtraies de l'Asperulo-Fagetum;9130;Hêtraies de l'Asperulo-Fagetum;41.2;Chênaies-charmaies;G1.A1;Boisements sur sols eutrophes et mésotrophes à Quercus, Fraxinus et Carpinus betulus;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1626;1626;FR8201720;QUE_ROB2;Chênaie sessiliflore (-hêtraie) acidophile mésophile;100;3,9;O;oui;;20676;Quercion roboris;Malcuit 1929;Quercenion robori-petraeae;Rivas Mart. 1975;non renseigné;non renseigné;Boisement feuillu  (mésophile à sec);IC;9110;Hêtraies du Luzulo-Fagetum;9110-1;Hêtraies, hêtraies-chênaies acidiphiles collinéennes;41.111;Hêtraies collinéennes à Luzule;G1.611;Hêtraies collinéennes médio-européennes à Luzule;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1627;1627;FR8201720;QUE_ROB2;Chênaie sessiliflore (-hêtraie) acidophile mésophile;100;11,47;O;oui;;20676;Quercion roboris;Malcuit 1929;Quercenion robori-petraeae;Rivas Mart. 1975;non renseigné;non renseigné;Boisement feuillu  (mésophile à sec);IC;9110;Hêtraies du Luzulo-Fagetum;9110-1;Hêtraies, hêtraies-chênaies acidiphiles collinéennes;41.111;Hêtraies collinéennes à Luzule;G1.611;Hêtraies collinéennes médio-européennes à Luzule;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1628;1628;FR8201720;CAR_FAG;Charmaies-chênaies et hêtraies-chênaies collinéennes mésophiles (et faciès à Castanea sativa) des sols peu acides à basiques;100;0,75;O;oui;;31640;Carpino betuli-Fagion sylvaticae;R. Boeuf, Renaux & J.-M. Royer in R. Boeuf 2011;non renseigné;non renseigné;non renseigné;non renseigné;boisement feuillu  (mésophile à sec);IC;9130;Hêtraies de l'Asperulo-Fagetum;9130;Hêtraies de l'Asperulo-Fagetum;41.2;Chênaies-charmaies;G1.A1;Boisements sur sols eutrophes et mésotrophes à Quercus, Fraxinus et Carpinus betulus;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1630;1630;FR8201720;QUE_ROB2;Chênaie sessiliflore (-hêtraie) acidophile mésophile;100;0,22;O;oui;;20676;Quercion roboris;Malcuit 1929;Quercenion robori-petraeae;Rivas Mart. 1975;non renseigné;non renseigné;Boisement feuillu  (mésophile à sec);IC;9110;Hêtraies du Luzulo-Fagetum;9110-1;Hêtraies, hêtraies-chênaies acidiphiles collinéennes;41.111;Hêtraies collinéennes à Luzule;G1.611;Hêtraies collinéennes médio-européennes à Luzule;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1632;1632;FR8201720;ALN_GLU;Aulnaies glutineuses ou aulnaies noires marécageuses des sols méso-eutrophes;100;0,47;O;oui;;16617;Alnion glutinosae;Malcuit 1929;non renseigné;non renseigné;non renseigné;non renseigné;Boisement feuillu humide;NC;NC;non concerné;NC;non concerné;44.911;Bois d’Aulnes marécageux méso-eutrophes;G1.411;Aulnaies marécageuses méso-eutrophes;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1633;1633;FR8201720;CAR_FAG;Charmaies-chênaies et hêtraies-chênaies collinéennes mésophiles (et faciès à Castanea sativa) des sols peu acides à basiques;100;6,73;O;oui;;31640;Carpino betuli-Fagion sylvaticae;R. Boeuf, Renaux & J.-M. Royer in R. Boeuf 2011;non renseigné;non renseigné;non renseigné;non renseigné;boisement feuillu  (mésophile à sec);IC;9130;Hêtraies de l'Asperulo-Fagetum;9130;Hêtraies de l'Asperulo-Fagetum;41.2;Chênaies-charmaies;G1.A1;Boisements sur sols eutrophes et mésotrophes à Quercus, Fraxinus et Carpinus betulus;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16342;1634;FR8201720;POT_CAU;Parois rocheuses calcaires sèches et ensoleillées à semi-ombragées de l'étage montagnard;30;2,13;O;non;;20661;Potentillion caulescentis;Br.-Bl. in Br.-Bl. & H. Jenny 1926;Kernero saxatilis-Potentillenion caulescentis;Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995;non renseigné;non renseigné;Parois et façades rocheuses (Végétation des);IC;8210;Pentes rocheuses calcaires avec végétation chasmophytique;8210-11;Falaises calcaires ensoleillées de la Bourgogne, du Jura et des Préalpes;62.151;Falaises calcaires ensoleillées des Alpes;H3.251;Communautés héliophiles des falaises calcaires alpines;1;stable;NR;non renseigné;U;NR;non renseigné;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1634;1634;FR8201720;QUE_PUB1;Chênaie pubescente submontagnarde xérophile neutrocalcicole;70;2,13;O;oui;;-1;Quercion pubescenti-petraeae;Br.-Bl. 1932;Sorbo ariae-Quercenion pubescentis;Rameau ex J.-M. Royer, Felzines, Misset & Thévenin 2009;Quercetum pubescenti-petraeae;Imchenetzky nom. invers. Hernis 1933;boisement feuillu  (mésophile à sec);NC;NC;non concerné;NC;non concerné;41.711;Bois occidentaux de Quercus pubescens;G1.711;Chênaies à Quercus pubescens occidentales;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16362;1636;FR8201720;POT_CAU;Parois rocheuses calcaires sèches et ensoleillées à semi-ombragées de l'étage montagnard;30;1,58;O;non;;20661;Potentillion caulescentis;Br.-Bl. in Br.-Bl. & H. Jenny 1926;Kernero saxatilis-Potentillenion caulescentis;Theurillat in Theurillat, Aeschimann, P. Küpfer & Spichiger 1995;non renseigné;non renseigné;Parois et façades rocheuses (Végétation des);IC;8210;Pentes rocheuses calcaires avec végétation chasmophytique;8210-11;Falaises calcaires ensoleillées de la Bourgogne, du Jura et des Préalpes;62.151;Falaises calcaires ensoleillées des Alpes;H3.251;Communautés héliophiles des falaises calcaires alpines;1;stable;NR;non renseigné;U;NR;non renseigné;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1636;1636;FR8201720;QUE_PUB1;Chênaie pubescente submontagnarde xérophile neutrocalcicole;70;1,58;O;oui;;-1;Quercion pubescenti-petraeae;Br.-Bl. 1932;Sorbo ariae-Quercenion pubescentis;Rameau ex J.-M. Royer, Felzines, Misset & Thévenin 2009;Quercetum pubescenti-petraeae;Imchenetzky nom. invers. Hernis 1933;boisement feuillu  (mésophile à sec);NC;NC;non concerné;NC;non concerné;41.711;Bois occidentaux de Quercus pubescens;G1.711;Chênaies à Quercus pubescens occidentales;1;stable;NR;non renseigné;U;I01;Espèces exotiques envahissantes;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1637;1637;FR8201720;CAR_FAG;Charmaies-chênaies et hêtraies-chênaies collinéennes mésophiles (et faciès à Castanea sativa) des sols peu acides à basiques;100;3,46;O;oui;;31640;Carpino betuli-Fagion sylvaticae;R. Boeuf, Renaux & J.-M. Royer in R. Boeuf 2011;non renseigné;non renseigné;non renseigné;non renseigné;boisement feuillu  (mésophile à sec);IC;9130;Hêtraies de l'Asperulo-Fagetum;9130;Hêtraies de l'Asperulo-Fagetum;41.2;Chênaies-charmaies;G1.A1;Boisements sur sols eutrophes et mésotrophes à Quercus, Fraxinus et Carpinus betulus;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1751;1751;FR8201720;QUE_ROB2;Chênaie sessiliflore (-hêtraie) acidophile mésophile;100;2,35;O;oui;;20676;Quercion roboris;Malcuit 1929;Quercenion robori-petraeae;Rivas Mart. 1975;non renseigné;non renseigné;Boisement feuillu  (mésophile à sec);IC;9110;Hêtraies du Luzulo-Fagetum;9110-1;Hêtraies, hêtraies-chênaies acidiphiles collinéennes;41.111;Hêtraies collinéennes à Luzule;G1.611;Hêtraies collinéennes médio-européennes à Luzule;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
